id,from,to,total_email,from_person,to_person,total_person
1165,105,468,573,17,20,37
1433,101,464,565,19,21,40
1184,94,503,597,17,24,41
1371,93,471,564,22,18,40
1104,91,500,591,18,20,38
1499,91,500,591,19,19,38
1473,90,481,571,22,22,44
1312,89,483,572,21,22,43
1110,85,506,591,21,20,41
1378,83,488,571,20,23,43
1300,78,489,567,18,21,39
1363,77,515,592,19,22,41
1249,76,471,547,19,19,38
1251,76,505,581,17,26,43
1295,71,499,570,21,20,41
1118,64,492,556,17,22,39
1149,63,493,556,17,23,40
1013,55,583,638,18,18,36
